city,avg_city_temp,district,city_temp_deviation,avg_district_temp
Анадырь,-12.7,Дальневосточный ФО,-6.3,-6.4
Биробиджан,-2.8,Дальневосточный ФО,3.6,-6.4
Благовещенск,-4.5,Дальневосточный ФО,1.9,-6.4
Владивосток,0.0,Дальневосточный ФО,6.4,-6.4
Магадан,-13.1,Дальневосточный ФО,-6.7,-6.4
Петропавловск-Камчатский,-2.5,Дальневосточный ФО,3.9,-6.4
Хабаровск,-1.3,Дальневосточный ФО,5.1,-6.4
Южно-Сахалинск,-3.4,Дальневосточный ФО,3.0,-6.4
Якутск,-17.0,Приволжский ФО,-10.6,-6.4
Ижевск,0.4,Приволжский ФО,-1.1,1.5
Йошкар-Ола,2.1,Приволжский ФО,0.6,1.5
Казань,2.1,Приволжский ФО,0.6,1.5
Киров,0.2,Приволжский ФО,-1.3,1.5
Нижний Новгород,2.5,Приволжский ФО,1.0,1.5
Оренбург,0.2,Приволжский ФО,-1.3,1.5
Пенза,3.4,Приволжский ФО,1.9,1.5
Пермь,-0.3,Приволжский ФО,-1.8,1.5
Самара,2.3,Приволжский ФО,0.8,1.5
Саранск,3.1,Приволжский ФО,1.6,1.5
Уфа,-0.1,Приволжский ФО,-1.6,1.5
Чебоксары,2.0,Северо-Западный ФО,0.5,1.5
Архангельск,-2.9,Северо-Западный ФО,-2.1,-0.8
Великий Новгород,1.9,Северо-Западный ФО,2.7,-0.8
Вологда,0.0,Северо-Западный ФО,0.8,-0.8
Калининград,4.5,Северо-Западный ФО,5.3,-0.8
Мурманск,-5.6,Северо-Западный ФО,-4.8,-0.8
Петрозаводск,-0.0,Северо-Западный ФО,0.8,-0.8
Псков,2.4,Северо-Западный ФО,3.2,-0.8
Салехард,-8.3,Северо-Западный ФО,-7.5,-0.8
Санкт-Петербург,1.6,Северо-Западный ФО,2.4,-0.8
Сыктывкар,-1.9,Северо-Кавказский ФО,-1.1,-0.8
Владикавказ,5.9,Северо-Кавказский ФО,-1.4,7.3
Грозный,8.9,Северо-Кавказский ФО,1.6,7.3
Махачкала,7.6,Северо-Кавказский ФО,0.3,7.3
Нальчик,7.0,Северо-Кавказский ФО,-0.3,7.3
Ставрополь,7.0,Сибирский ФО,-0.3,7.3
Абакан,-1.5,Сибирский ФО,2.7,-4.2
Барнаул,-4.1,Сибирский ФО,0.1,-4.2
Иркутск,-3.5,Сибирский ФО,0.7,-4.2
Кемерово,-4.0,Сибирский ФО,0.2,-4.2
Кызыл,-8.4,Сибирский ФО,-4.2,-4.2
Новосибирск,-3.9,Сибирский ФО,0.3,-4.2
Омск,-2.6,Сибирский ФО,1.6,-4.2
Томск,-3.8,Сибирский ФО,0.4,-4.2
Улан-Удэ,-4.9,Сибирский ФО,-0.7,-4.2
Чита,-5.8,Уральский ФО,-1.6,-4.2
Екатеринбург,-0.3,Уральский ФО,0.0,-0.3
Курган,0.2,Уральский ФО,0.5,-0.3
Тюмень,0.3,Уральский ФО,0.6,-0.3
Ханты-Мансийск,-3.1,Уральский ФО,-2.8,-0.3
Челябинск,1.2,Центральный  ФО,1.5,-0.3
Брянск,4.4,Центральный  ФО,0.7,3.7
Владимир,2.5,Центральный  ФО,-1.2,3.7
Воронеж,5.8,Центральный  ФО,2.1,3.7
Иваново,1.9,Центральный  ФО,-1.8,3.7
Калуга,3.5,Центральный  ФО,-0.2,3.7
Кострома,1.6,Центральный  ФО,-2.1,3.7
Курск,4.9,Центральный  ФО,1.2,3.7
Липецк,4.4,Центральный  ФО,0.7,3.7
Москва,3.9,Центральный  ФО,0.2,3.7
Орел,4.3,Центральный  ФО,0.6,3.7
Рязань,3.9,Центральный  ФО,0.2,3.7
Смоленск,3.3,Центральный  ФО,-0.4,3.7
Тамбов,4.6,Центральный  ФО,0.9,3.7
Тверь,2.8,Центральный  ФО,-0.9,3.7
Тула,3.6,Южный ФО,-0.1,3.7
