city,district,daily_temp
Оренбург,Приволжский ФО,6.8
Липецк,Центральный  ФО,1.8
Челябинск,Уральский ФО,-4.9
Оренбург,Приволжский ФО,-0.1
Томск,Сибирский ФО,0.2
Ханты-Мансийск,Уральский ФО,-1.1
Курган,Уральский ФО,2.0
Казань,Приволжский ФО,-2.5
Киров,Приволжский ФО,-1.2
Тула,Центральный  ФО,5.3
Ханты-Мансийск,Уральский ФО,-0.9
Ижевск,Приволжский ФО,2.5
Ставрополь,Северо-Кавказский ФО,4.2
Брянск,Центральный  ФО,10.1
Кемерово,Сибирский ФО,-2.7
Псков,Северо-Западный ФО,6.3
Петрозаводск,Северо-Западный ФО,-4.0
Йошкар-Ола,Приволжский ФО,7.2
Улан-Удэ,Сибирский ФО,-8.0
Иркутск,Сибирский ФО,0.4
Липецк,Центральный  ФО,9.8
Калининград,Северо-Западный ФО,2.3
Улан-Удэ,Сибирский ФО,-13.7
Мурманск,Северо-Западный ФО,-11.0
Иваново,Центральный  ФО,1.6
Псков,Северо-Западный ФО,2.6
Калининград,Северо-Западный ФО,6.8
Омск,Сибирский ФО,-0.4
Майкоп,Южный ФО,11.4
Волгоград,Южный ФО,-2.2
Архангельск,Северо-Западный ФО,1.7
Оренбург,Приволжский ФО,8.4
Нальчик,Северо-Кавказский ФО,4.8
Салехард,Северо-Западный ФО,-8.8
Санкт-Петербург,Северо-Западный ФО,4.0
Чебоксары,Приволжский ФО,4.5
Орел,Центральный  ФО,7.9
Элиста,Южный ФО,5.3
Уфа,Приволжский ФО,0.0
Благовещенск,Дальневосточный ФО,-2.4
Челябинск,Уральский ФО,2.8
Омск,Сибирский ФО,0.0
Иваново,Центральный  ФО,-4.1
Сыктывкар,Северо-Западный ФО,-2.5
Калининград,Северо-Западный ФО,1.1
Нальчик,Северо-Кавказский ФО,12.0
Краснодар,Южный ФО,9.5
Ростов,Южный ФО,2.0
Салехард,Северо-Западный ФО,-2.8
Самара,Приволжский ФО,3.3
Биробиджан,Дальневосточный ФО,-2.6
Брянск,Центральный  ФО,2.0
Вологда,Северо-Западный ФО,5.7
Улан-Удэ,Сибирский ФО,-2.2
Анадырь,Дальневосточный ФО,-10.4
Владимир,Центральный  ФО,3.1
Грозный,Северо-Кавказский ФО,2.8
Петропавловск-Камчатский,Дальневосточный ФО,2.0
Нальчик,Северо-Кавказский ФО,0.0
